query id	subject id	% identity	alignment length	mismatches	gap opens	q. start	q. end	s. start	s. end	evalue	bit score	COG#	functional categories					COG protein description
ACM48917.1	gnl|CDD|226361	31.140	228	132	8	1	219	2	213	5.08e-38	132	98	COG3842	E					ABC-type spermidine/putrescine transport systems, ATPase components
ACM48917.1	gnl|CDD|224050	36.199	221	125	9	5	219	2	212	1.03e-37	130	96	COG1125	E					ABC-type proline/glycine betaine transport systems, ATPase components
ACM48917.1	gnl|CDD|226635	33.495	206	132	4	22	223	17	221	4.84e-37	127	90	COG4161	E					ABC-type arginine transport system, ATPase component
ACM48917.1	gnl|CDD|225183	31.579	228	127	8	9	223	476	687	1.03e-35	130	96	COG2274	V					ABC-type bacteriocin/lantibiotic exporters, contain an N-terminal double-glycine peptidase domain
ACM48917.1	gnl|CDD|223488	27.234	235	146	7	1	219	1	226	1.08e-34	121	98	COG0411	E					ABC-type branched-chain amino acid transport systems, ATPase component
ACM48917.1	gnl|CDD|223521	27.731	238	150	9	4	223	1	234	1.10e-34	122	98	COG0444	E	P				ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component
ACM48917.1	gnl|CDD|226643	33.333	198	109	4	1	176	1	197	2.20e-34	123	79	COG4175	E					ABC-type proline/glycine betaine transport system, ATPase component
ACM48917.1	gnl|CDD|224053	28.846	208	133	6	1	202	5	203	4.73e-34	124	90	COG1129	G					ABC-type sugar transport system, ATPase component
ACM48917.1	gnl|CDD|224053	22.699	163	106	7	22	171	274	429	1.29e-09	54.4	90	COG1129	G					ABC-type sugar transport system, ATPase component
ACM48917.1	gnl|CDD|227321	32.075	212	121	6	22	223	336	534	6.50e-34	124	90	COG4988	C	O				ABC-type transport system involved in cytochrome bd biosynthesis, ATPase and permease components
ACM48917.1	gnl|CDD|227320	31.169	231	136	8	3	223	335	552	7.04e-34	124	99	COG4987	C	O				ABC-type transport system involved in cytochrome bd biosynthesis, fused ATPase and permease components
ACM48917.1	gnl|CDD|226905	30.198	202	129	3	20	219	18	209	2.37e-31	112	89	COG4525	P					ABC-type taurine transport system, ATPase component
ACM48917.1	gnl|CDD|226927	29.091	220	141	7	4	219	1	209	3.33e-29	106	96	COG4555	C	P				ABC-type Na+ transport system, ATPase component
ACM48917.1	gnl|CDD|226364	27.805	205	138	4	1	202	1	198	4.19e-29	110	90	COG3845	R					ABC-type uncharacterized transport systems, ATPase components
ACM48917.1	gnl|CDD|226364	25.946	185	120	9	3	175	256	435	7.93e-17	75.7	90	COG3845	R					ABC-type uncharacterized transport systems, ATPase components
ACM48917.1	gnl|CDD|226641	29.832	238	145	9	3	223	275	507	5.00e-29	110	99	COG4172	R					ABC-type uncharacterized transport system, duplicated ATPase component
ACM48917.1	gnl|CDD|226641	28.333	240	147	8	3	223	5	238	1.49e-23	95.0	99	COG4172	R					ABC-type uncharacterized transport system, duplicated ATPase component
ACM48917.1	gnl|CDD|226929	32.258	217	129	7	15	222	13	220	1.06e-28	105	93	COG4559	P					ABC-type hemin transport system, ATPase component
ACM48917.1	gnl|CDD|224055	30.568	229	135	8	5	223	329	543	2.55e-28	108	98	COG1132	V					ABC-type multidrug transport system, ATPase and permease components
ACM48917.1	gnl|CDD|223562	29.412	238	138	8	4	222	3	229	4.76e-28	107	98	COG0488	R					ATPase components of ABC transporters with duplicated ATPase domains
ACM48917.1	gnl|CDD|223562	27.149	221	127	8	4	219	321	512	1.23e-23	95.4	98	COG0488	R					ATPase components of ABC transporters with duplicated ATPase domains
ACM48917.1	gnl|CDD|226360	32.995	197	119	5	27	219	19	206	5.25e-28	103	86	COG3840	H					ABC-type thiamine transport system, ATPase component
ACM48917.1	gnl|CDD|224060	29.694	229	140	9	4	223	4	220	7.50e-28	103	98	COG1137	R					ABC-type (unclassified) transport system, ATPase component
ACM48917.1	gnl|CDD|226967	25.000	232	125	4	1	224	1	191	5.26e-27	101	100	COG4608	E					ABC-type oligopeptide transport system, ATPase component
ACM48917.1	gnl|CDD|224042	31.250	192	103	9	1	176	4	182	9.40e-27	100	79	COG1117	P					ABC-type phosphate transport system, ATPase component
ACM48917.1	gnl|CDD|224044	27.368	190	111	7	1	176	28	204	1.14e-26	100	79	COG1119	P					ABC-type molybdenum transport system, ATPase component/photorepair protein PhrA
ACM48917.1	gnl|CDD|227118	31.718	227	144	6	1	217	1	226	8.44e-26	97.5	97	COG4778	P					ABC-type phosphonate transport system, ATPase component
ACM48917.1	gnl|CDD|223487	28.643	199	112	9	2	188	1	181	1.12e-25	97.2	83	COG0410	E					ABC-type branched-chain amino acid transport systems, ATPase component
ACM48917.1	gnl|CDD|226620	32.039	206	112	9	21	214	16	205	5.60e-24	92.2	87	COG4136	R					ABC-type uncharacterized transport system, ATPase component
ACM48917.1	gnl|CDD|226963	28.507	221	146	5	5	221	2	214	1.85e-23	91.6	97	COG4604	P					ABC-type enterochelin transport system, ATPase component
ACM48917.1	gnl|CDD|224026	30.052	193	117	6	22	202	21	207	2.93e-23	91.6	81	COG1101	R					ABC-type uncharacterized transport system, ATPase component
ACM48917.1	gnl|CDD|224057	26.389	216	139	6	6	219	26	223	5.24e-23	90.4	96	COG1134	G	M				ABC-type polysaccharide/polyol phosphate transport system, ATPase component
ACM48917.1	gnl|CDD|226969	29.167	216	120	8	22	221	351	549	3.32e-22	91.2	89	COG4618	R					ABC-type protease/lipase transport system, ATPase and permease components
ACM48917.1	gnl|CDD|226628	27.273	209	130	4	26	219	4	205	1.19e-20	85.9	87	COG4148	P					ABC-type molybdate transport system, ATPase component
ACM48917.1	gnl|CDD|226617	28.409	176	111	7	14	186	9	172	2.25e-20	82.7	77	COG4133	O					ABC-type transport system involved in cytochrome c biogenesis, ATPase component
ACM48917.1	gnl|CDD|226968	28.780	205	123	5	26	224	342	529	8.35e-20	84.5	89	COG4615	Q	P				ABC-type siderophore export system, fused ATPase and permease components
ACM48917.1	gnl|CDD|226592	29.310	232	147	7	4	223	6	232	1.86e-19	81.3	98	COG4107	P					ABC-type phosphonate transport system, ATPase component
ACM48917.1	gnl|CDD|226637	28.497	193	114	6	1	178	1	184	1.60e-17	76.0	79	COG4167	V					ABC-type antimicrobial peptide transport system, ATPase component
ACM48917.1	gnl|CDD|226631	24.885	217	148	7	5	219	3	206	4.20e-17	75.5	96	COG4152	R					ABC-type uncharacterized transport system, ATPase component
ACM48917.1	gnl|CDD|227590	28.169	213	129	7	22	223	278	477	6.89e-17	75.9	90	COG5265	O					ABC-type transport system involved in Fe-S cluster assembly, permease and ATPase components
ACM48917.1	gnl|CDD|227019	24.370	238	144	10	1	219	2	222	6.97e-17	73.9	98	COG4674	R					Uncharacterized ABC-type transport system, ATPase component
ACM48917.1	gnl|CDD|226952	26.108	203	135	6	25	221	42	235	9.01e-17	74.7	88	COG4586	R					ABC-type uncharacterized transport system, ATPase component
ACM48917.1	gnl|CDD|226622	27.751	209	128	10	23	221	15	210	2.91e-15	69.5	89	COG4138	H					ABC-type cobalamin transport system, ATPase component
ACM48917.1	gnl|CDD|225265	25.455	220	139	8	6	216	379	582	4.17e-15	70.6	94	COG2401	R					ABC-type ATPase fused to a predicted acetyltransferase domain
ACM48917.1	gnl|CDD|226646	26.829	205	116	9	23	218	409	588	4.76e-15	70.4	88	COG4178	R					ABC-type uncharacterized transport system, permease and ATPase components
ACM48917.1	gnl|CDD|226639	23.950	238	131	8	19	223	19	239	3.68e-12	61.4	92	COG4170	V					ABC-type antimicrobial peptide transport system, ATPase component
ACM48917.1	gnl|CDD|223473	23.318	223	150	10	3	213	2	215	2.82e-11	58.4	94	COG0396	O					ABC-type transport system involved in Fe-S cluster assembly, ATPase component
ACM48917.1	gnl|CDD|224166	24.084	191	122	6	29	218	363	531	4.40e-08	50.0	85	COG1245	R					Predicted ATPase, RNase L inhibitor (RLI) homolog
ACM48917.1	gnl|CDD|224166	40.816	49	29	0	127	175	197	245	7.53e-06	43.1	85	COG1245	R					Predicted ATPase, RNase L inhibitor (RLI) homolog
ACM48917.1	gnl|CDD|223496	24.444	90	56	5	135	214	806	893	3.99e-06	44.0	36	COG0419	L					ATPase involved in DNA repair
ACM48917.1	gnl|CDD|223256	37.500	56	32	1	142	194	821	876	5.63e-04	37.6	37	COG0178	L					Excinuclease ATPase subunit
ACM48917.1	gnl|CDD|223256	51.852	27	13	0	23	49	16	42	5.78e-04	37.6	37	COG0178	L					Excinuclease ATPase subunit
ACM48917.1	gnl|CDD|223256	51.724	29	14	0	23	51	617	645	8.22e-04	37.2	37	COG0178	L					Excinuclease ATPase subunit
ACM48918.1	gnl|CDD|223358	54.673	428	176	5	4	428	14	426	0.0	585	57	COG0281	C					Malic enzyme
ACM48918.1	gnl|CDD|223357	38.438	320	190	5	431	744	1	319	1.39e-99	307	42	COG0280	C					Phosphotransacetylase
ACM48919.1	gnl|CDD|225529	26.923	104	64	4	19	119	16	110	0.001	39.3	11	COG2982	M					Uncharacterized protein involved in outer membrane biogenesis
ACM48920.1	gnl|CDD|223724	33.466	502	314	9	8	501	3	492	3.57e-74	240	98	COG0651	C	P				Formate hydrogenlyase subunit 3/Multisubunit Na+/H+ antiporter, MnhD subunit
ACM48920.1	gnl|CDD|223941	27.944	501	335	15	10	499	1	486	6.23e-47	169	97	COG1009	C	P				NADH:ubiquinone oxidoreductase subunit 5 (chain L)/Multisubunit Na+/H+ antiporter, MnhA subunit
ACM48920.1	gnl|CDD|223940	24.187	492	347	13	14	497	10	483	6.29e-42	153	96	COG1008	C					NADH:ubiquinone oxidoreductase subunit 4 (chain M)
ACM48920.1	gnl|CDD|223939	27.200	375	264	4	73	445	60	427	2.92e-40	148	74	COG1007	C					NADH:ubiquinone oxidoreductase subunit 2 (chain N)
ACM48920.1	gnl|CDD|226564	24.762	105	75	1	130	234	84	184	0.005	35.6	21	COG4078	S					Predicted membrane protein
ACM48925.1	gnl|CDD|225015	29.412	68	47	1	3	69	1	68	7.81e-12	51.9	97	COG2104	H					Sulfur transfer protein involved in thiamine biosynthesis
ACM48926.1	gnl|CDD|224933	50.980	255	124	1	8	262	8	261	3.52e-125	353	97	COG2022	H					Uncharacterized enzyme of thiazole biosynthesis
ACM48926.1	gnl|CDD|223292	39.535	43	26	0	191	233	216	258	4.49e-07	46.9	16	COG0214	H					Pyridoxine biosynthesis enzyme
ACM48926.1	gnl|CDD|223212	31.250	48	33	0	182	229	206	253	2.09e-04	38.7	18	COG0134	E					Indole-3-glycerol phosphate synthase
ACM48926.1	gnl|CDD|223429	35.294	51	32	1	186	236	161	210	0.003	35.3	19	COG0352	H					Thiamine monophosphate synthase
ACM48928.1	gnl|CDD|223087	33.406	458	284	10	1	438	10	466	2.92e-121	358	99	COG0008	J					Glutamyl- and glutaminyl-tRNA synthetases
ACM48928.1	gnl|CDD|223097	20.130	154	96	10	171	306	308	452	0.001	38.0	31	COG0018	J					Arginyl-tRNA synthetase
ACM48929.1	gnl|CDD|223831	15.686	306	232	10	22	312	23	317	8.38e-05	41.2	73	COG0760	O					Parvulin-like peptidyl-prolyl isomerase
ACM48930.1	gnl|CDD|223813	30.108	186	120	6	1	179	1	183	1.73e-31	109	97	COG0742	L					N6-adenine-specific methylase
ACM48930.1	gnl|CDD|225443	26.496	117	77	5	11	122	74	186	4.33e-07	45.8	61	COG2890	J					Methylase of polypeptide chain release factors
ACM48930.1	gnl|CDD|225172	27.586	87	58	2	36	122	37	118	5.02e-07	45.0	47	COG2263	J					Predicted RNA methylase
ACM48930.1	gnl|CDD|225136	28.090	89	57	3	44	131	51	133	1.57e-05	41.1	48	COG2226	H					Methylase involved in ubiquinone/menaquinone biosynthesis
ACM48930.1	gnl|CDD|224017	30.435	92	59	3	35	121	208	299	2.04e-05	41.1	47	COG1092	R					Predicted SAM-dependent methyltransferases
ACM48930.1	gnl|CDD|223194	21.019	157	75	4	9	124	163	311	3.23e-05	40.4	63	COG0116	L					Predicted N6-adenine-specific DNA methylase
ACM48930.1	gnl|CDD|226608	21.795	78	58	2	48	122	48	125	3.91e-05	39.9	41	COG4123	R					Predicted O-methyltransferase
ACM48930.1	gnl|CDD|223971	31.646	79	53	1	44	122	197	274	6.30e-05	39.3	43	COG1041	L					Predicted DNA modification methylase
ACM48930.1	gnl|CDD|225319	30.159	63	33	1	7	69	108	159	0.002	34.7	34	COG2521	R					Predicted archaeal methyltransferase
ACM48932.1	gnl|CDD|225180	24.812	133	77	6	312	432	85	206	0.007	35.7	27	COG2271	G					Sugar phosphate permease
ACM48933.1	gnl|CDD|223306	51.136	88	41	1	2	89	1	86	5.24e-37	116	99	COG0228	J					Ribosomal protein S16
ACM48934.1	gnl|CDD|224128	36.484	455	259	8	1	427	3	455	1.86e-135	394	99	COG1207	M					N-acetylglucosamine-1-phosphate uridyltransferase (contains nucleotidyltransferase and I-patch acetyltransferase domains)
ACM48934.1	gnl|CDD|224129	20.913	416	257	14	1	403	2	358	1.88e-26	106	94	COG1208	M	J				Nucleoside-diphosphate-sugar pyrophosphorylase involved in lipopolysaccharide biosynthesis/translation initiation factor 2B, gamma/epsilon subunits (eIF-2Bgamma/eIF-2Bepsilon)
ACM48934.1	gnl|CDD|223974	23.602	161	100	5	257	408	153	299	1.25e-13	68.5	42	COG1044	M					UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase
ACM48934.1	gnl|CDD|223974	21.667	180	102	5	229	405	40	183	2.39e-06	46.1	42	COG1044	M					UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase
ACM48934.1	gnl|CDD|225082	33.898	118	73	4	295	408	105	221	2.17e-13	66.9	27	COG2171	E					Tetrahydrodipicolinate N-succinyltransferase
ACM48934.1	gnl|CDD|223975	34.783	69	44	1	344	411	93	161	3.58e-13	65.0	34	COG1045	E					Serine acetyltransferase
ACM48934.1	gnl|CDD|223975	25.490	102	49	4	266	359	70	152	0.004	35.4	34	COG1045	E					Serine acetyltransferase
ACM48934.1	gnl|CDD|224979	25.197	127	91	3	2	128	7	129	5.40e-12	61.6	30	COG2068	R					Uncharacterized MobA-related protein
ACM48934.1	gnl|CDD|223735	23.457	162	74	7	259	411	13	133	1.18e-10	57.2	36	COG0663	R					Carbonic anhydrases/acetyltransferases, isoleucine patch superfamily
ACM48934.1	gnl|CDD|223188	25.758	132	69	3	294	410	48	165	1.24e-09	54.5	27	COG0110	R					Acetyltransferase (isoleucine patch superfamily)
ACM48934.1	gnl|CDD|223817	32.090	134	73	5	1	131	5	123	1.42e-07	48.4	31	COG0746	H					Molybdopterin-guanine dinucleotide biosynthesis protein A
ACM48934.1	gnl|CDD|224132	27.731	119	70	4	4	114	8	118	1.44e-07	49.1	26	COG1211	I					4-diphosphocytidyl-2-methyl-D-erithritol synthase
ACM48934.1	gnl|CDD|223973	23.000	200	83	11	258	408	4	181	5.16e-06	44.5	35	COG1043	M					Acyl-[acyl carrier protein]--UDP-N-acetylglucosamine O-acyltransferase
ACM48934.1	gnl|CDD|224134	24.528	106	78	1	1	106	4	107	5.97e-06	44.2	25	COG1213	M					Predicted sugar nucleotidyltransferases
ACM48934.1	gnl|CDD|224130	23.228	254	151	16	1	230	1	234	3.37e-04	39.1	54	COG1209	M					dTDP-glucose pyrophosphorylase
ACM48934.1	gnl|CDD|224133	22.472	267	142	16	3	232	5	243	7.82e-04	38.0	54	COG1212	M					CMP-2-keto-3-deoxyoctulosonic acid synthetase
ACM48934.1	gnl|CDD|223525	20.755	106	73	3	257	359	296	393	0.007	35.3	24	COG0448	G					ADP-glucose pyrophosphorylase
ACM48935.1	gnl|CDD|223959	29.282	181	122	6	23	199	8	186	3.35e-27	102	70	COG1028	I	Q	R			Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases)
ACM48935.1	gnl|CDD|223377	25.000	184	133	5	19	199	5	186	8.76e-15	69.2	72	COG0300	R					Short-chain dehydrogenases of various substrate specificities
ACM48935.1	gnl|CDD|226674	22.535	142	103	5	16	155	2	138	2.76e-08	50.3	56	COG4221	R					Short-chain alcohol dehydrogenase of unknown specificity
ACM48935.1	gnl|CDD|226476	27.857	140	84	7	23	155	8	137	3.79e-04	37.8	53	COG3967	M					Short-chain dehydrogenase involved in D-alanine esterification of lipoteichoic acid and wall teichoic acid (D-alanine transfer protein)
ACM48936.1	gnl|CDD|223095	47.892	332	168	4	11	339	6	335	4.47e-146	413	94	COG0016	J					Phenylalanyl-tRNA synthetase alpha subunit
ACM48936.1	gnl|CDD|224935	24.645	211	137	7	145	336	149	356	2.65e-12	64.8	55	COG2024	J					Phenylalanyl-tRNA synthetase alpha subunit (archaeal type)
ACM48937.1	gnl|CDD|223369	61.062	113	44	0	1	113	1	113	1.09e-42	133	88	COG0292	J					Ribosomal protein L20
ACM48938.1	gnl|CDD|223368	40.625	64	38	0	1	64	1	64	1.80e-13	55.7	97	COG0291	J					Ribosomal protein L35
ACM48939.1	gnl|CDD|226341	53.191	188	80	2	15	202	5	184	1.59e-85	249	92	COG3820	S					Uncharacterized protein conserved in bacteria
ACM48940.1	gnl|CDD|224080	62.559	422	154	1	33	454	3	420	0.0	676	93	COG1158	K					Transcription termination factor
ACM48940.1	gnl|CDD|224079	31.873	251	152	7	196	437	152	392	4.37e-30	118	53	COG1157	N	U				Flagellar biosynthesis/type III secretory pathway ATPase
ACM48940.1	gnl|CDD|223133	27.119	236	132	12	196	408	136	354	1.18e-08	53.8	47	COG0055	C					F0F1-type ATP synthase, beta subunit
ACM48940.1	gnl|CDD|223134	26.515	132	72	5	197	313	152	273	6.50e-04	38.7	26	COG0056	C					F0F1-type ATP synthase, alpha subunit
ACM48943.1	gnl|CDD|224753	27.331	311	204	9	56	356	1	299	4.36e-52	172	85	COG1840	P					ABC-type Fe3+ transport system, periplasmic component
ACM48943.1	gnl|CDD|226624	23.030	330	211	14	10	324	2	303	6.88e-17	77.8	88	COG4143	H					ABC-type thiamine transport system, periplasmic component
ACM48943.1	gnl|CDD|223759	17.718	333	211	16	20	318	12	315	9.29e-09	53.2	84	COG0687	E					Spermidine/putrescine-binding periplasmic protein
ACM48943.1	gnl|CDD|224567	19.710	345	223	14	11	304	2	343	4.75e-04	38.8	83	COG1653	G					ABC-type sugar transport system, periplasmic component
ACM48944.1	gnl|CDD|225391	46.939	49	26	0	2	50	10	58	1.94e-18	67.3	98	COG2835	S					Uncharacterized conserved protein
ACM48946.1	gnl|CDD|223880	16.418	134	94	3	456	586	49	167	0.006	37.5	6	COG0810	M					Periplasmic protein TonB, links inner and outer membranes
ACM48946.1	gnl|CDD|225711	18.405	163	116	5	425	584	263	411	0.010	38.0	8	COG3170	N	U				Tfp pilus assembly protein FimV
ACM48947.1	gnl|CDD|224246	47.651	149	78	0	1	149	1	149	1.76e-62	186	99	COG1327	K					Predicted transcriptional regulator, consists of a Zn-ribbon and ATP-cone domains
ACM48948.1	gnl|CDD|226284	42.529	87	41	2	22	99	19	105	4.89e-17	67.7	76	COG3761	C					NADH:ubiquinone oxidoreductase 17.2 kD subunit
ACM48949.1	gnl|CDD|224380	28.289	152	102	6	1	148	1	149	6.19e-24	92.5	96	COG1463	Q					ABC-type transport system involved in resistance to organic solvents, periplasmic component
ACM48949.1	gnl|CDD|225553	25.000	96	53	6	45	124	50	142	0.003	34.2	52	COG3008	R					Paraquat-inducible protein B
ACM48953.1	gnl|CDD|223544	60.211	284	101	6	11	290	4	279	3.60e-119	343	78	COG0468	L					RecA/RadA recombinase
ACM48953.1	gnl|CDD|223543	34.146	82	51	2	44	123	1	81	3.56e-10	57.1	22	COG0467	T					RecA-superfamily ATPases implicated in signal transduction
ACM48953.1	gnl|CDD|223993	29.134	127	82	4	30	154	57	177	1.17e-04	40.7	35	COG1066	O					Predicted ATP-dependent serine protease
ACM48953.1	gnl|CDD|224043	30.000	60	33	4	64	117	25	81	0.003	36.2	15	COG1118	P					ABC-type sulfate/molybdate transport systems, ATPase component
ACM48953.1	gnl|CDD|225429	26.562	64	46	1	41	104	3	65	0.003	35.4	18	COG2874	N	U				Predicted ATPases involved in biogenesis of archaeal flagella
ACM48953.1	gnl|CDD|223256	40.625	32	18	1	64	94	23	54	0.007	35.3	9	COG0178	L					Excinuclease ATPase subunit
ACM48954.1	gnl|CDD|223537	29.208	202	124	5	10	197	4	200	1.14e-39	131	94	COG0461	F					Orotate phosphoribosyltransferase
ACM48954.1	gnl|CDD|223577	24.742	97	55	2	68	147	51	146	1.96e-10	54.6	40	COG0503	F					Adenine/guanine phosphoribosyltransferases and related PRPP-binding proteins
ACM48954.1	gnl|CDD|223925	20.745	188	125	7	1	170	14	195	2.85e-05	40.1	85	COG0856	F					Orotate phosphoribosyltransferase homologs
ACM48954.1	gnl|CDD|223970	44.828	29	14	1	102	130	171	197	0.007	33.1	15	COG1040	R					Predicted amidophosphoribosyltransferases
ACM48955.1	gnl|CDD|223552	41.224	245	138	5	11	249	10	254	9.93e-72	218	89	COG0476	H					Dinucleotide-utilizing enzymes involved in molybdopterin and thiamine biosynthesis family 2
